2025-11-30 13:52:11.296; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:12.299; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:13.302; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:14.305; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:15.308; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:16.311; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:17.314; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:18.317; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:19.320; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:20.324; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:21.327; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:22.331; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:23.334; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:24.336; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:25.339; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:26.343; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:27.346; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:28.349; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:29.353; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:30.356; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:31.359; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:32.362; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:33.366; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:34.368; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:35.372; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
2025-11-30 13:52:36.374; DRONE_X=0.000; DRONE_Y=0.001; DRONE_Z=1.496; TARGET_X=0.000; TARGET_Y=0.000; TARGET_Z=1.500
